month,activities,distance_km,moving_time_h,source_page
2019-08,11,121.5,12.6,Monthly Trends
2019-09,9,73.9,9.5,Monthly Trends
2019-10,2,13.4,3.4,Monthly Trends
2019-11,1,42.4,1.9,Monthly Trends
2019-12,4,53.7,5.9,Monthly Trends
2020-01,2,94.7,2.5,Monthly Trends
2020-03,3,32.6,3.5,Monthly Trends
2020-05,10,52.8,8.9,Monthly Trends
2020-06,15,147.4,17.8,Monthly Trends
2020-07,5,376.6,9.2,Monthly Trends
2021-06,2,20,1.9,Monthly Trends
2021-07,58,487,49.2,Monthly Trends
2021-08,59,559.4,49.2,Monthly Trends
2021-09,47,454.5,45.9,Monthly Trends
2021-10,59,476.3,52,Monthly Trends
2021-11,58,456.7,58.6,Monthly Trends
2021-12,45,477,61.2,Monthly Trends
2022-01,46,391.8,50.1,Monthly Trends
2022-02,21,71.4,16.9,Monthly Trends
2022-03,46,177.1,31.6,Monthly Trends
2022-04,64,378.1,53.1,Monthly Trends
2022-05,41,379.3,42.2,Monthly Trends
2022-06,39,364.5,42.9,Monthly Trends
2022-07,45,375.6,43.6,Monthly Trends
2022-08,22,233.9,23.2,Monthly Trends
2022-09,38,162.7,23.2,Monthly Trends
2022-10,26,147.4,24.9,Monthly Trends
2022-11,33,176.3,36.4,Monthly Trends
2022-12,22,181.5,25.9,Monthly Trends
2023-01,31,218.5,41.8,Monthly Trends
2023-02,32,293.9,52.4,Monthly Trends
2023-03,39,450.7,72.4,Monthly Trends
2023-04,40,226,36.1,Monthly Trends
2023-05,23,212.3,22.8,Monthly Trends
2023-06,24,139.2,21.4,Monthly Trends
2023-07,18,66.3,12.1,Monthly Trends
2023-08,20,153.6,32.6,Monthly Trends
2023-09,17,131.6,17.5,Monthly Trends
2023-10,23,205.4,12.8,Monthly Trends
2023-11,16,102.6,20.3,Monthly Trends
2023-12,15,132.3,19.4,Monthly Trends
2024-01,21,149.2,33.5,Monthly Trends
2024-02,26,167.9,29.8,Monthly Trends
2024-03,20,161.1,18,Monthly Trends
2024-04,24,127.2,16.3,Monthly Trends
2024-05,31,271.4,43.3,Monthly Trends
2024-06,20,302.7,19.9,Monthly Trends
2024-07,24,225.4,32.3,Monthly Trends
2024-08,23,108.3,22.1,Monthly Trends
2024-09,10,87.3,8.6,Monthly Trends
2024-10,32,223.8,27.3,Monthly Trends
2024-11,37,212.7,23.1,Monthly Trends
2024-12,41,166.6,32.8,Monthly Trends
2025-01,31,183.1,37.3,Monthly Trends
2025-02,30,265.4,42.2,Monthly Trends
2025-03,28,110,37.2,Monthly Trends
2025-04,19,255.1,22.6,Monthly Trends
2025-05,20,140,28.4,Monthly Trends
2025-06,26,166.4,31.3,Monthly Trends
2025-07,34,326.4,48.8,Monthly Trends
2025-08,26,147.3,30.5,Monthly Trends
2025-09,16,76.9,16.4,Monthly Trends
2025-10,24,152.3,29.8,Monthly Trends
2025-11,19,191.9,35.7,Monthly Trends
2025-12,25,66.1,18.7,Monthly Trends
2026-01,37,177.2,47.2,Monthly Trends
2026-02,29,227.3,39.8,Monthly Trends
2026-03,35,393.4,61.4,Monthly Trends
2026-04,30,246.7,56.8,Monthly Trends
2026-05,35,305.6,59,Monthly Trends
2026-06,36,312.7,74.9,Monthly Trends
2026-07,32,258.1,68.6,Monthly Trends
2026-08,24,125.7,29.8,Monthly Trends
